PDF_File,Well_File_No,Well_Name,API_No,Operator,County,State,Field,Pool,Latitude,Longitude
W11745.pdf,11745,,,"RIM Operating, Inc",McKenzie,ND,Baker,,,
W11920.pdf,11920,Corps of En ineers 31-10,,"RIM Operating, Inc",McKenzie,ND,Baker,,,
W15358.pdf,15358,,,"RIM Operating, Inc",McKenzie,ND,Baker,,,
W20197.pdf,20197,Wade Federal 5300 21-30H,33-053-03413,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.047061,-103.603206
W20407.pdf,20407,24-HOUR PRODUCTION RATE,,Oasis Petroleum North America LLC,McKenzie,ND,,Bakken,48.057353,-103.605722
W20863.pdf,20863,,,Oasis Petroleum North America LLC,McKenzie,ND,,Bakken,48.082761,-103.611606
W20864.pdf,20864,24-HOUR PRODUCTION RATE,33-053-03911,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.083319,-3.620517
W21266.pdf,21266,DAHL 15-11H,,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,,
W21796.pdf,21796,DAHL FEDERAL 2-15H,,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,,
W22099.pdf,22099,Yukon 5301 4 1 -12T,33-053-03911,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.082917,-102.376956
W22220.pdf,22220,24-HOUR PRODUCTION RATE,33-053-03911,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.083319,-3.620517
W22221.pdf,22221,lnnoko 5301 41-12T,33-053-03911,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.082789,-103.613744
W22247.pdf,22247,zu.IOUR PRODUCTION RATE,33-053-03943,,McKenzie,ND,Baker,Bakken,48.025097,-103.622319
W22249.pdf,22249,,33-053-03944,Well Name,McKenzie,ND,Baker,Bakken,48.024964,-103.605167
W22731.pdf,22731,,33-053-04069,Well Name,McKenzie,ND,Baker,Bakken,103.604689,-103.605269
W22740.pdf,22740,24-HOUR PRODUCTION RATE,33-053-03911,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.083319,-3.620517
W23230.pdf,23230,Ash Federal 5300 11-18T,33-053-04211,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.079792,-103.6027
W23359.pdf,23359,Atlanta 14-6H,33-105-02719,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,,
W23360.pdf,23360,Atlanta 13-6H,33-105-02720,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109347,-103.7277
W23361.pdf,23361,Atlanta 12-6H,33-105-02721,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109347,-103.727884
W23362.pdf,23362,495 F N,33-105-02722,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109347,-103.728069
W23363.pdf,23363,Atlanta Federal 10-6H,33-105-02723,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109272,-103.732489
W23364.pdf,23364,Atlanta Federal 9-6H,33-105-02724,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109272,-103.732489
W23365.pdf,23365,Atlanta Federal 8-6H,33-105-02725,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109272,-103.732489
W23366.pdf,23366,Atlanta Federal 7-6H,33-105-02726,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,,
W23367.pdf,23367,Atlanta Federal 6-6H,33-105-02727,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109272,-103.732489
W23368.pdf,23368,Atlanta Federal 6-6H,33-105-02728,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,,
W23369.pdf,23369,Atlanta 4-6H,33-105-02729,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109352,-103.730995
W23370.pdf,23370,Atlanta 3-6H,33-105-02730,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109352,-103.731179
W23371.pdf,23371,Atlanta 2-6H,33-105-02731,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109352,-103.731363
W23372.pdf,23372,Atlanta 1-6H,33-105-02732,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.109997,-103.731825
W25156.pdf,25156,McKenzie,33-053-04852,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.074907,-103.670209
W25157.pdf,25157,Tallahassee 3-16H,33-053-04853,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,,
W25158.pdf,25158,Tallahassee 2-16H,33-053-04854,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.075243,-103.669911
W25159.pdf,25159,Section Township,33-053-04855,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.075349,-103.669818
W25160.pdf,25160,,33-053-04856,"Continental Resources, Inc.",McKenzie,ND,Baker,Bakken,48.075455,-103.669723
W25571.pdf,25571,24-HOUR PRODUCTION RATE,33-053-04981,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.082717,-103.608022
W28190.pdf,28190,Lewis Federal 5300 21-31 68,33-053-05845,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.0318,-103.603106
W28194.pdf,28194,2552 F,33-053-05849,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.0318,-103.603106
W28303.pdf,28303,WADE FEDERAL 5300 31-30 11T,33-053-05906,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.044158,-103.602719
W28342.pdf,28342,Chalmers 5301 44-24 2TR,33-053-05924,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.055603,-103.605722
W28394.pdf,28394,Wade Federal 5300 41-30 4T,33-053-05943,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.042258,-103.603169
W28425.pdf,28425,Wade Federal 5300 41-30 6B,33-053-05954,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.041292,-103.603006
W28554.pdf,28554,,33-053-05995,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.042383,-103.603169
W28557.pdf,28557,Sec. 30/29 T153N R1 OOW,33-053-05998,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.0412,-103.603006
W28599.pdf,28599,Chalmers 5301 44-24 3BR,33-053-06010,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.055692,-103.605722
W28600.pdf,28600,Chalmers 5301 44-24 4T2R,33-053-06011,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.055558,-103.605722
W28601.pdf,28601,Chalmers Wade Federal 5301 44-2412TXR,33-053-06012,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.055467,-103.605153
W28633.pdf,28633,24-HOUR PRODUCTION RATE,33-053-06018,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,,
W28634.pdf,28634,Chalmers 5300 21-19 6B,33-053-06019,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.061653,-103.602808
W28636.pdf,28636,Chalmers 5300 21-19 ST,33-053-06021,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.061963,-103.602808
W28637.pdf,28637,Chalmers 5300 21-19 10T,33-053-06022,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.061292,-103.602808
W28648.pdf,28648,CHALMERS 5300 21-19 98,33-053-06023,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.061381,-103.636142
W28649.pdf,28649,CHALMERS 5300 21-1911B,33-053-06024,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.0612,-103.602808
W28651.pdf,28651,KLINE FEDERAL 5300 41-18 9T,33-053-06025,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.069036,-103.603322
W28652.pdf,28652,24-HOUR PRODUCTION RATE,33-053-06026,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.068944,-103.603319
W28654.pdf,28654,24-HOUR PRODUCTION RATE,33-053-06028,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.068672,-103.603319
W28655.pdf,28655,Kline Federal 5300 41-18 14BX,33-053-06029,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.068583,-103.603319
W28658.pdf,28658,24-HOUR PRODUCTION RATE,33-053-06030,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.068764,-103.603319
W28744.pdf,28744,Sec. 29/30/31/32 T153N R100W,33-053-06051,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.041019,-103.603006
W28754.pdf,28754,Kline Federal 5300 31-18 8B,33-053-00605,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.074489,-103.603161
W28755.pdf,28755,KLINE FEDERAL 5300 31-18 7T,33-053-06056,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.0744,-103.603161
W28756.pdf,28756,Kline Federal 5300 31-18 6B,33-053-06057,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.074308,-103.603161
W28976.pdf,28976,WADE FEDERAL 5300 21-30 12T,33-053-06129,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.04865,-103.603047
W28978.pdf,28978,WADE FEDERAL 5300 21-30 13B,33-053-06131,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.048831,-103.603047
W29242.pdf,29242,Kline Federal 5300 11-18 5B,33-053-06223,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.079108,-103.603056
W29244.pdf,29244,Kline Federal 5300 11-18 3T,33-053-06225,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.079192,-103.602942
W29316.pdf,29316,Gramma Federal 5300 41-3112B,33-053-06231,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.026172,-103.602875
W29317.pdf,29317,,33-053-06232,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.026356,-103.602875
W29334.pdf,29334,KLINE FEDERAL 5300 11-18 2B,33-053-06243,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.079356,-103.602831
W30188.pdf,30188,,33-053-06548,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.035828,-103.603086
W30189.pdf,30189,24-HOUR PRODUCTION RATE,33-053-06549,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.035917,-103.603072
W30789.pdf,30789,Otr-Qtr,33-053-06755,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,,
W36047.pdf,36047,1149 F,33-053-08946,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.035647,-103.603108
W90244.pdf,90244,0 Deepened Well,33-053-90244,Oasis Petroleum North America LLC,McKenzie,ND,Baker,Bakken,48.029083,-103.599575
W90258.pdf,90258,260 F,,"Continental Resources, Inc.",Williams,ND,Baker,Bakken,48.109997,-103.731825
W90329.pdf,90329,D Deepened Well,33-053-90329,Oasis Petroleum North America LLC,McKenzie,ND,Baker,,48.066081,-103.615569
